lkd-id,version,changeNote,editorialNote (ei julkaista)
bffi:Summary,v0.8.0,"Changed Finnish label from ""Tiivistelmä"" to ""Sisällön yhteenveto""",2024-10-23  changed Finnish label to match rdae:P20069
bffi:summary,v0.8.0,"Changed Finnish label from ""tiivistelmä"" to ""sisällön yhteenveto""; changed domain from [Work, Expression, Manifestation] to bffi:Expression",2024-10-23  changed Finnish label to match rdae:P20069; domain päivitetty vain Ekspressioksi
bffi:Text,v0.6.0,Changed BIBRAME mapping from bffi-meta:broadMatch to owl:equivalentClass bf:Text,2024-04-18 Changed
bffi:titleSource,v0.6.0,,2024-06-05 New. domain bffi:Title range bffi:TitleSource
bffi:translation,v0.8.0,Deprecated. Replaced by the indirect bffi:relation structure,2024-10-21 replaced by values of bffi:Relationship in the Metadata Thesaurus
bffi:translationOf,v0.8.0,Deprecated. Replaced by the indirect bffi:relation structure,2024-10-21 replaced by values of bffi:Relationship in the Metadata Thesaurus
bffi:variantAccessPoint,v0.5.0,,2024-04-04: changed by removing subPropertyOf bf:aap
bffi:variantAccessPoint,v0.6.0,Removed mappings to RDA Agent properties,
bffi:variantAccessPoint,v0.7.0,"Changed domain from rdfs:Resource to [bffi:Work, bffi:Expression, bffi:Manifestation, bffi:Item]",2024-09-16 change domain to be the same as with bffi:aap
bffi:workGroupIdentifiedBy,v0.8.0,Deprecated,2024-11-18 LKD viikkokokous
bffi:workIdentifiedBy,v0.8.0,Deprecated,2024-11-18 LKD viikkokokous
